url,problem,ist_laenge,soll_laenge,vorschlag,titel
/10_goldene_regeln,zu lang,222,128,"Change Management bei der Einführung von Einkaufssoftware: zehn Regeln, mit denen Rollouts angenommen werden statt zu versanden.",Change Management: Einführung von Einkaufssoftware
/analysen-reportings,zu lang,233,129,"Budgetanalysen und Reports in Hivebuy: Ausgaben je Kostenstelle, Projekt und Lieferant auswerten und Budgets in Echtzeit steuern.",Budgetanalysen &amp; Reports
/anbindungsanleitung-sap-business-one,zu lang,271,127,"Anbindungsanleitung SAP Business One: Schritt für Schritt zur Verbindung mit Hivebuy, inklusive Voraussetzungen und Datenfluss.",Anbindungsanleitung
/blog/3-herausforderungen-bei-der-einfuehrung-von-einkaufssoftware,zu lang,440,133,"Die drei häufigsten Hürden bei der Einführung von Einkaufssoftware und wie Sie sie mit Planung, Schulung und Change Management lösen.",3 Herausforderungen bei Softwareeinführung im Einkauf
/blog/amazon-business-integration-is-live,zu lang,274,134,"Amazon Business in Hivebuy: Produkte im gewohnten Interface bestellen, mit Budgetprüfung und Freigabe-Workflow. So richten Sie es ein.",Amazon Business Integration is live!
/blog/beschaffung-aktuell-wir-sind-in-tausende-von-systemen-einfach-zu-integrieren,zu lang,313,139,Beschaffung Aktuell im Gespräch mit Hivebuy: warum offene Integrationen der Schlüssel zum digitalen indirekten Einkauf im Mittelstand sind.,Beschaffung Aktuell: Hivebuy revolutioniert indirekten Einkauf
/blog/die-besten-einkaufssoftwares,zu lang,226,135,"Die besten Einkaufssoftwares für den indirekten Einkauf im Vergleich: Funktionen, Zielgruppen und Auswahlkriterien für den Mittelstand.",Die besten Einkaufssoftwares für indirekten Einkauf
/blog/die-kosten-eines-schlechten-einkaufsprozesses,zu lang,273,139,"Unsichtbare Kosten schlechter Einkaufsprozesse: Maverick Buying, manuelle Freigaben und fehlende Transparenz. So beziffern Sie den Schaden.",Unsichtbare Kosten in schlechten Einkaufsprozessen
/blog/einkaufssoftware-4-bereiche-fuer-optimierung,zu lang,480,135,"Vier Bereiche, in denen Einkaufssoftware den Beschaffungsprozess messbar verbessert: Bedarf, Freigabe, Bestellung und Rechnungsprüfung.",Optimierung des Beschaffungsprozesses: 4 Vorteile von Einkaufssoftware
/blog/einkaufssoftware-vorteile-unternehmen,zu lang,477,139,"Vier konkrete Vorteile von Einkaufssoftware für Mittelständler: weniger Aufwand, klare Budgets, schnellere Freigaben und volle Transparenz.",Einkaufssoftware: 4 Vorteile für Mittelständler
/blog/hivebuy-im-procurement-summit-magazin,zu lang,468,128,"Wie Thermondo den Einkauf mit Hivebuy neu aufstellt: dezentrale Bedarfe, zentrale Kontrolle und deutlich kürzere Freigabezeiten.",Wie Thermondo mit Hivebuy den Einkauf revolutioniert
/blog/ki-im-einkauf,zu lang,168,131,"KI im Einkauf: Anwendungsfälle von Preisvergleich bis Rechnungsprüfung, realistischer Nutzen und was Sie für den Einstieg brauchen.","KI im Einkauf: Vorteile, Anwendungsfälle &amp; Umsetzung"
/blog/lieferkettengesetz-deutschland,zu lang,169,134,"Lieferkettengesetz in Deutschland: welche Pflichten für wen gelten, welche Nachweise nötig sind und wie Software die Umsetzung stützt.",Lieferkettengesetz in Deutschland ➤ Pflichten &amp; Software 2026
/blog/procurementheroes-folge-1,zu lang,226,135,ProcurementHeroes Folge 1 mit Franziska Prüger: warum wir den Podcast gestartet haben und was Einkaufsteams aus dem Gespräch mitnehmen.,ProcurementHeroes: Warum wir diesen Podcast gestartet haben – und was ihr aus der ersten Folge mit Franziska Prüger mitnehmen könnt
/blog/procurementheroes-folge-2,zu lang,226,133,Einkauf im sozialen Sektor: warum Versorgungssicherheit dort wichtiger ist als Einsparungen. ProcurementHeroes Folge 2 zum Nachhören.,Einkauf im sozialen Sektor: Warum Versorgungssicherheit wichtiger ist als Einsparungen
/blog/software-beschaffung-hr-bereich,zu lang,169,136,"Software-Beschaffung im HR-Bereich: Bedarfe bündeln, Verträge im Blick behalten und Schatten-IT vermeiden. Leitfaden für Einkauf und HR.",Software-Beschaffung im HR-Bereich
/blog/wie-waehle-ich-die-richtige-einkaufssoftware-5-wichtige-kriterien-zur-auswahl,zu lang,407,128,"Einkaufssoftware auswählen: fünf Kriterien von Integrationen bis Einführungsdauer, mit denen Sie Anbieter belastbar vergleichen.",So wählen Sie die richtige Einkaufssoftware: Top 5 Kriterien
/case_study_securitas,zu lang,182,135,Fallstudie Securitas: wie der Sicherheitsdienstleister seinen Beschaffungsprozess mit Hivebuy digitalisiert und Freigaben verkürzt hat.,Fallstudie: Securitas digitalisiert seinen Beschaffungsprozess mit Hivebuy
/deine-karriere-bei-hivebuy,fehlt,0,126,"Karriere bei Hivebuy: offene Stellen in Berlin und remote, wie wir arbeiten und was wir suchen. Jetzt Stellenangebote ansehen.",Karriere
/en/,zu kurz,20,144,"Hivebuy is the AI purchasing software for mid-sized companies. Automate requests, approvals, orders and invoices in one platform. Live in hours.",Hivebuy.com - The AI purchasing software for your company
/en/career,fehlt,0,123,"Careers at Hivebuy: open roles in Berlin and remote, how we work and what we look for. See our current vacancies and apply.",Career
/en/case_study_tennis-point,zu lang,199,127,"Tennis-Point case study: running procure-to-pay with Hivebuy and SAP S/4HANA. Setup, integration approach and measured results.",Tennis-Point Case Study: Procure-to-Pay with Hivebuy &amp;amp; SAP
/en/customer-review-thermondo,zu lang,293,129,"Thermondo on Hivebuy: decentralised requests, central control and markedly shorter approval times. Read the full customer review.",Thermondo customer review of Hivebuy
/en/ersparnisrechner_hivebuy,zu kurz,54,134,Estimate your savings: the Hivebuy calculator shows what structured indirect procurement is worth for your company. Takes two minutes.,Hivebuy Savings Calculator
/en/helpcenter,zu kurz,16,130,"Hivebuy Help Center: guides on purchase requisitions, approvals, catalogues and invoice matching. Answers and videos in one place.",Hivebuy Helpcenter
/en/industrien/kmu-dezentrale-organisationen,zu lang,201,130,"Purchasing software for SMEs: structure procurement, stop maverick buying and cut costs without a dedicated purchasing department.",Purchasing Software for SMEs – Streamline Procurement and Reduce Costs | Hivebuy
/en/integration-datev,zu lang,198,130,"Connect Hivebuy to DATEV: transfer invoices and accounting data automatically, avoid duplicate entry and keep approvals auditable.",Integration: DATEV
/en/integration-dvelop,zu lang,196,137,"Connect Hivebuy to d.velop: archive documents audit-proof and run document-based procurement approvals end to end, without manual filing.",Integration: d.Velop
/en/integration-microsoft-dynamics,zu lang,196,126,"Connect Hivebuy to Microsoft Dynamics: keep orders, suppliers and invoices in sync automatically, without any manual re-entry.",Integration: Microsoft Dynamics
/en/integration-netsuite,zu lang,192,120,"Connect Hivebuy to NetSuite: procurement and accounting in one flow, with synchronised supplier, order and invoice data.",Integration: NetSuite
/en/integration-sap-ecc,zu lang,208,129,"Connect Hivebuy to SAP ECC: pass purchase requisitions and invoices through without touching your ERP. Live in hours, not months.",Integration: SAP ECC
/en/integration-sap-s4-hana,zu lang,208,115,Connect Hivebuy to SAP S/4HANA: run procure-to-pay end to end and synchronise order and invoice data automatically.,Integration: SAP S/4 HANA
/en/integrations,zu lang,185,137,"Over 200 integrations: connect Hivebuy to SAP, DATEV, Microsoft Dynamics, NetSuite, Slack and Teams via API, webhook or native connector.",Integrations
/en/it-department,zu lang,170,131,"Hivebuy for IT: no local installation and no project marathon. Connect via API, webhook, SSO or ERP connector and go live in hours.",Things run better with Hivebuy - without a major IT project
/en/partnerprogramm,zu lang,213,127,"The Hivebuy affiliate programme: grow together as a consultancy, reseller or supplier. Terms, process and contacts at a glance.",Affiliate Program
/en/product-tour,zu kurz,51,126,"Take the Hivebuy product tour: purchase requisition, approval workflow, catalogue ordering and invoice matching, step by step.",Hivebuy product tour
/en/references,zu lang,191,131,Hivebuy customer references: how mid-sized companies structure indirect procurement and make spend transparent. Read their results.,Hivebuy customer references
/en/resources,zu kurz,16,133,"Hivebuy resources: whitepapers, webinars and guides on indirect procurement, AI in purchasing and software selection. Free to access.",Hivebuy Resources
/en/testzugang,zu kurz,11,132,"Try Hivebuy free for 14 days: test purchase requisitions, approvals and catalogues in your own account. No setup fee, no IT project.",Hivebuy Free Trial
/en/webinar-datevintegration,zu lang,219,129,Connect DATEV and Hivebuy: hand invoices over automatically and avoid duplicate entry. Webinar for procurement and finance teams.,Webinar Datevintegration
/en/webinar-dvelop,zu lang,221,125,d.velop and Hivebuy together: document-based approvals and audit-proof archiving in procurement. Watch the webinar on demand.,Webinar dvelop &amp; Hivebuy
/en/webinar-onlineprinters,zu lang,189,140,"How Onlineprinters digitised indirect procurement with Hivebuy: approvals, catalogues and invoice matching. Webinar with a practical report.",Webinar Hivebuy x Onlineprinters
/en/webinar-productdemo,zu lang,263,137,"Hivebuy in 30 minutes: purchase requisition, approval workflow, catalogue ordering and invoice matching in a live run-through. Watch now.",Webinar product demo
/en/webinar-pwc,zu lang,175,136,"PwC and Hivebuy on compliance and efficiency in indirect procurement: requirements, pitfalls and practical solutions. Watch the webinar.",PWC &amp; Hivebuy webinar
/en/webinar-schaefershop,zu lang,239,134,Schäfer Shop and Hivebuy: order office and operating supplies straight from the catalogue with automated approvals. Watch the webinar.,Webinar Schäfer Shop &amp; Hivebuy
/en/whitepaper_100d,zu lang,240,122,"The first 100 days in procurement: a whitepaper with a roadmap for assessment, quick wins and lasting process improvement.",Whitepaper 100d
/en/whitepaper_application_ki,zu lang,201,128,"Whitepaper: applying AI in purchasing. Concrete use cases, prerequisites and realistic effects, with a checklist. Free download.",Whitepaper Application of AI in purchasing
/en/whitepaper_implementation,zu lang,171,124,"Whitepaper on software implementation in purchasing: approach, pitfalls and a checklist for a rollout without an IT project.",Whitepaper Software implementation in purchasing
/en/whitepaper_ki_prompts,zu lang,220,121,"Whitepaper with proven AI prompts for purchasing: supplier analysis, negotiation and reusable text blocks. Free download.",Whitepaper AI prompts for purchasing
/hilfecenter,zu kurz,19,133,"Hivebuy Hilfecenter: Anleitungen zu Bedarfsanforderung, Freigaben, Katalogen und Rechnungsprüfung. Antworten und Videos an einem Ort.",Hivebuy Hilfecenter
/hilfecenter-videos,zu kurz,68,134,"Video-Anleitungen im Hivebuy Hilfecenter: Bedarfsanforderung stellen, Freigaben einrichten und Rechnungen prüfen, Schritt für Schritt.",Hivebuy Hilfecenter
/hilfecenter/kb-search-results,zu kurz,19,130,"Suchergebnisse im Hivebuy Hilfecenter: Anleitungen und Antworten zu Bedarfsanforderung, Freigaben, Katalogen und Rechnungsprüfung.",Suchergebnisse | Hivebuy Hilfecenter
/industrien/dienstleistungen,zu lang,174,135,"Einkaufssoftware für Dienstleister: Bedarfe dezentraler Teams bündeln, Kosten pro Projekt sichtbar machen und Freigaben automatisieren.",Procurement-Software für Dienstleister – Einkauf &amp; Kosten kontrollieren | Hivebuy
/industrien/gesundheitswesen,zu lang,171,133,"Einkaufssoftware für das Gesundheitswesen: Beschaffung strukturieren, Compliance nachweisen und Budgets je Station im Blick behalten.",Einkaufssoftware für das Gesundheitswesen – Beschaffung und Compliance | Hivebuy
/industrien/handel,zu lang,195,136,"Einkaufssoftware für den Einzelhandel: Filialbedarfe zentral steuern, Bestellungen automatisieren und Betriebskosten transparent halten.",Einkaufssoftware für den Einzelhandel – Einkauf automatisieren | Hivebuy
/industrien/kmu-dezentrale-organisationen,zu lang,168,126,"Einkaufssoftware für KMU: Beschaffung strukturieren, Maverick Buying stoppen und Kosten senken, ohne eigene Einkaufsabteilung.",Einkaufssoftware für KMU – Beschaffung strukturieren und Kosten senken | Hivebuy
/industrien/logistik,zu lang,166,128,"Einkaufssoftware für Logistikunternehmen: Betriebskosten je Standort kontrollieren, Bedarfe bündeln und Freigaben beschleunigen.",Einkaufssoftware für Logistikunternehmen – Betriebskosten kontrollieren | Hivebuy
/integration-datev,zu lang,231,141,"Hivebuy mit DATEV verbinden: Rechnungen und Buchungsdaten automatisch übergeben, Doppelerfassung vermeiden, Freigaben nachvollziehbar halten.",Integration: DATEV
/integration-dvelop,zu lang,233,131,Hivebuy mit d.velop verbinden: Belege revisionssicher archivieren und dokumentenbasierte Freigaben im Einkauf durchgängig abbilden.,Integration: d.Velop
/integration-microsoft-dynamics,zu lang,255,128,"Hivebuy mit Microsoft Dynamics verbinden: Bestellungen, Lieferanten und Rechnungen synchron halten, ohne manuelle Nacherfassung.",Integration: Microsoft Dynamics
/integration-netsuite,zu lang,222,133,"Hivebuy mit NetSuite verbinden: Beschaffung und Buchhaltung in einem Fluss, mit synchronen Lieferanten-, Bestell- und Rechnungsdaten.",Integration: Netsuite
/integration-sap-ecc,zu lang,227,138,"Hivebuy mit SAP ECC verbinden: Bedarfsanforderungen und Rechnungen übergeben, ohne Ihr ERP anzufassen. Anbindung in Stunden statt Monaten.",Integration: SAP ECC
/integration-sap-s4-hana,zu lang,237,128,"Hivebuy mit SAP S/4HANA verbinden: Procure-to-Pay durchgängig abbilden, Bestell- und Rechnungsdaten automatisch synchronisieren.",Integration: SAP S/4 Hana
/ki-agenten-finance,zu lang,167,132,"KI-Agenten für Finance: Rechnungen automatisch prüfen, Abweichungen erkennen und Buchungen vorbereiten. So arbeitet Hivebuy für Sie.",KI-Agenten Finance
/kundenbericht-thermondo,zu lang,336,134,"Kundenbericht Thermondo: dezentrale Bedarfe, zentrale Kontrolle und deutlich kürzere Freigabezeiten mit Hivebuy. Ergebnisse im Detail.",Kundenbericht Thermondo
/partnerprogramm,zu lang,208,136,"Hivebuy Partnerprogramm: als Berater, Systemhaus oder Lieferant gemeinsam wachsen. Konditionen, Ablauf und Ansprechpartner im Überblick.",Partnerprogramm
/testzugang,zu lang,252,126,"Hivebuy 14 Tage kostenlos testen: Bedarfsanforderung, Freigaben und Kataloge im eigenen Konto ausprobieren. Ohne Setup-Gebühr.",Hivebuy Kostenloser Testzugang
/webinar-ask-hivebuy,zu lang,179,140,"Hivebuy Live: Ihre Fragen zu Einkaufssoftware, Freigaben und Rechnungsprüfung, beantwortet direkt vom Produktteam. Jetzt kostenlos anmelden.",Hivebuy Live: Ihre Fragen – unsere Antworten
/webinar-data-analytics,zu lang,246,139,Data-Driven Procurement: Einkaufsdaten für bessere Entscheidungen und niedrigere Kosten nutzen. Webinar mit Praxisbeispielen jetzt ansehen.,Data-Driven Procurement: optimierte Einkaufsprozesse
/webinar-datevintegration,zu lang,266,132,"DATEV und Hivebuy verbinden: Rechnungen automatisch übergeben, Doppelerfassung vermeiden. Webinar für Einkauf und Finanzbuchhaltung.",Webinar Datevintegration
/webinar-dvelop,zu lang,268,135,d.velop und Hivebuy im Zusammenspiel: dokumentenbasierte Freigaben und revisionssichere Archivierung im Einkauf. Webinar jetzt ansehen.,Webinar dvelop &amp; Hivebuy
/webinar-hiveiq,zu lang,289,133,HiveIQ im Einsatz: automatischer Preisvergleich über alle Kataloge und messbare Einsparungen ohne Mehraufwand. Webinar mit Live-Demo.,Webinar HiveIQ - So sparen Sie mit automatischem Preisvergleich
/webinar-ki-einkaufsassistent,zu lang,200,139,"Der KI-Einkaufsassistent von Hivebuy und Unite: bestellen per Chat, Freigaben automatisch. Webinar mit Live-Demo, jetzt kostenlos anmelden.",Der KI-Einkaufsassistent ist live: Bestellen per Chat mit Hivebuy und Unite
/webinar-onlineprinters,zu lang,218,134,"Wie Onlineprinters den indirekten Einkauf mit Hivebuy digitalisiert: Freigaben, Kataloge, Rechnungsprüfung. Webinar mit Praxisbericht.",Webinar Hivebuy x Onlineprinters
/webinar-produktdemo,zu lang,299,136,"Hivebuy in 30 Minuten: Bedarfsanforderung, Freigabe-Workflow, Katalogbestellung und Rechnungsprüfung im Live-Durchlauf. Webinar ansehen.",Webinar Produktdemo
/webinar-produktneuheiten,zu lang,200,138,"Next Level Einkauf: die neuen Hivebuy-Funktionen für Freigaben, Analysen und KI-Agenten im Überblick. Webinar mit dem Produktteam ansehen.",Next Level Einkauf – Die neuen Möglichkeiten mit Hivebuy
/webinar-pwc,zu lang,243,138,"PwC und Hivebuy über Compliance und Effizienz im indirekten Einkauf: Anforderungen, Fallstricke und Praxislösungen. Webinar jetzt ansehen.",Webinar PWC &amp; Hivebuy
/webinar-schaefershop,zu lang,273,137,"Schäfer Shop und Hivebuy: Bürobedarf und Betriebsausstattung direkt im Katalog bestellen, Freigaben automatisiert. Webinar jetzt ansehen.",Webinar Schäfer Shop &amp; Hivebuy
/webinar-securitas-amazon,zu lang,191,137,"Digitaler Einkauf in der Praxis: Securitas, Hivebuy und Amazon Business über Kataloge, Freigaben und Einsparungen. Webinar jetzt ansehen.","Webinar: Digitaler Einkauf in der Praxis: Securitas, Hivebuy &amp; Amazon Business im Gespräch"
/webinar-tennispoint,zu lang,352,133,"Wie Tennis-Point Procure-to-Pay mit Hivebuy und SAP S/4HANA umsetzt: Prozesse, Integration und Ergebnisse. Webinar mit Praxisbericht.","Webinar: Spiel, Satz und Effizienz – wie Tennis-Point mit Hivebuy &amp; SAP S/4 Procure-to-pay meistert."
/webinar-unite,zu lang,223,132,Smarte Suche im Einkauf: mit Unite und Hivebuy schneller das richtige Produkt finden und günstiger bestellen. Webinar mit Live-Demo.,"Smarte Suche, kluge Entscheidung – Einkaufsoptimierung mit Unite &amp; Hivebuy"
/webinare,zu kurz,8,136,"Webinare zu Einkauf und Beschaffung: Praxisberichte, Produktneuheiten und KI im Einkauf. Kostenlos anmelden oder Aufzeichnungen ansehen.",Webinare
/whitepaper-blog,zu kurz,10,128,"Whitepaper zu Einkauf und Beschaffung: Leitfäden zu KI, Automatisierung, Softwareauswahl und Einführung. Kostenlos zum Download.",Whitepaper
/whitepaper_100d,zu lang,288,125,"Die ersten 100 Tage im Einkauf: Whitepaper mit Fahrplan für Bestandsaufnahme, Quick Wins und nachhaltige Prozessverbesserung.",Whitepaper 100d
/whitepaper_anwendungen_ki,zu lang,234,129,"Whitepaper: KI im Einkauf konkret angewendet. Anwendungsfälle, Voraussetzungen und realistische Effekte. Kostenlos herunterladen.",Whitepaper Anwendung KI im Einkauf
/whitepaper_automation,zu lang,280,135,Whitepaper: mit Automatisierung den indirekten Einkauf optimieren. Wo sich Aufwand am schnellsten senken lässt. Kostenlos zum Download.,Mit Automatisierung den indirekten Einkauf optimieren
/whitepaper_ki_prompts,zu lang,268,128,"Whitepaper mit erprobten KI-Prompts für den Einkauf: Lieferantenanalyse, Verhandlung und Textbausteine. Kostenlos herunterladen.",Whitepaper KI Prompts für den Einkauf
/whitepaper_softwareimplementierung,zu lang,205,126,"Whitepaper zur Softwareimplementierung im Einkauf: Vorgehen, Stolpersteine und Checkliste für eine Einführung ohne IT-Projekt.",Whitepaper Softwareimplementierung im Einkauf
